example_id                                                                                   | status  | run_time        |
./spec/models/forum_thread_spec.rb[1:1]                                                      | passed  | 0.00323 seconds |
./spec/models/forum_thread_spec.rb[1:2]                                                      | passed  | 0.00358 seconds |
./spec/models/forum_topic_spec.rb[1:1]                                                       | passed  | 0.00427 seconds |
./spec/models/forum_topic_spec.rb[1:2]                                                       | passed  | 0.00755 seconds |
./spec/models/image_spec.rb[1:1]                                                             | pending | 0.00001 seconds |
./spec/models/role_spec.rb[1:1]                                                              | pending | 0.00001 seconds |
./spec/models/tickler_spec.rb[1:1]                                                           | passed  | 0.00776 seconds |
./spec/models/user_spec.rb[1:1]                                                              | passed  | 0.01012 seconds |
./spec/models/user_spec.rb[1:2]                                                              | passed  | 0.02573 seconds |
./spec/models/user_spec.rb[1:3]                                                              | passed  | 0.00403 seconds |
./spec/models/user_spec.rb[1:4:1]                                                            | passed  | 0.05566 seconds |
./spec/models/user_spec.rb[1:4:2]                                                            | passed  | 0.06324 seconds |
./spec/views/forum_topic/create.html.haml_spec.rb[1:1]                                       | pending | 0.00001 seconds |
./spec/views/forum_topic/index.html.haml_spec.rb[1:1]                                        | pending | 0.00006 seconds |
./spec/views/forum_topic/new.html.haml_spec.rb[1:1]                                          | pending | 0.00001 seconds |
./spec/views/forums/index.html.haml_spec.rb[1:1]                                             | pending | 0.00001 seconds |
./spec/views/tickler/create.html.haml_spec.rb[1:1]                                           | pending | 0.00002 seconds |
./spec/views/tickler/new.html.haml_spec.rb[1:1]                                              | pending | 0.00001 seconds |
